,film_id,genre
0,1,Eddie Redmayne
1,1,Alex Sharp
2,1,Sacha Baron Cohen
3,1,Jeremy Strong
4,2,John David Washington
5,2,Robert Pattinson
6,2,Elizabeth Debicki
7,2,Juhan Ulfsak
8,3,Matthew McConaughey
9,3,Charlie Hunnam
10,3,Michelle Dockery
11,3,Jeremy Strong
12,4,Laurence Olivier
13,4,Joan Fontaine
14,4,George Sanders
15,4,Judith Anderson
16,5,Brad Pitt
17,5,Robin Wright
18,5,Jonah Hill
19,5,Philip Seymour Hoffman
20,6,Danny Elfman
21,6,Chris Sarandon
22,6,Catherine OHara
23,6,William Hickey
24,7,Matthew Broderick
25,7,Alan Ruck
26,7,Mia Sara
27,7,Jeffrey Jones
28,8,Donald Pleasence
29,8,Jamie Lee Curtis
30,8,Tony Moran
31,8,Nancy Kyes
32,9,Jack Nicholson
33,9,Shelley Duvall
34,9,Danny Lloyd
35,9,Scatman Crothers
36,10,Dean-Charles Chapman
37,10,George MacKay
38,10,Daniel Mays
39,10,Colin Firth
40,11,Daniel Radcliffe
41,11,Rupert Grint
42,11,Richard Harris
43,11,Maggie Smith
44,12,Leonardo DiCaprio
45,12,Brad Pitt
46,12,Margot Robbie
47,12,Emile Hirsch
48,13,Daniel Craig
49,13,Chris Evans
50,13,Ana de Armas
51,13,Jamie Lee Curtis
52,14,Jack Nicholson
53,14,Louise Fletcher
54,14,Michael Berryman
55,14,Peter Brocco
56,15,Joe Russo
57,15,Robert Downey Jr.
58,15,Chris Evans
59,15,Mark Ruffalo
60,15,Chris Hemsworth
61,16,Kang-ho Song
62,16,Sun-kyun Lee
63,16,Yeo-jeong Jo
64,16,Woo-sik Choi
65,17,Joaquin Phoenix
66,17,Robert De Niro
67,17,Zazie Beetz
68,17,Frances Conroy
69,18,Leonardo DiCaprio
70,18,Jonah Hill
71,18,Margot Robbie
72,18,Matthew McConaughey
73,19,Tim Robbins
74,19,Morgan Freeman
75,19,Bob Gunton
76,19,William Sadler
77,20,Jodie Foster
78,20,Anthony Hopkins
79,20,Lawrence A. Bonney
80,20,Kasi Lemmons
81,21,Michael J. Fox
82,21,Christopher Lloyd
83,21,Lea Thompson
84,21,Crispin Glover
85,22,Lin-Manuel Miranda
86,22,Phillipa Soo
87,22,Leslie Odom Jr.
88,22,Renée Elise Goldsberry
89,23,Marlon Brando
90,23,Al Pacino
91,23,James Caan
92,23,Diane Keaton
93,24,Matthew McConaughey
94,24,Anne Hathaway
95,24,Jessica Chastain
96,24,Mackenzie Foy
97,25,Christian Bale
98,25,Heath Ledger
99,25,Aaron Eckhart
100,25,Michael Caine
101,26,Bill Murray
102,26,Dan Aykroyd
103,26,Sigourney Weaver
104,26,Harold Ramis
105,27,Roman Griffin Davis
106,27,Thomasin McKenzie
107,27,Scarlett Johansson
108,27,Taika Waititi
109,28,John Travolta
110,28,Uma Thurman
111,28,Samuel L. Jackson
112,28,Bruce Willis
113,29,Ellen Burstyn
114,29,Max von Sydow
115,29,Linda Blair
116,29,Lee J. Cobb
117,30,Peter Ramsey
118,30,Rodney Rothman
119,30,Shameik Moore
120,30,Jake Johnson
121,30,Hailee Steinfeld
122,30,Mahershala Ali
123,31,Kurt Russell
124,31,Wilford Brimley
125,31,Keith David
126,31,Richard Masur
127,32,Leonardo DiCaprio
128,32,Joseph Gordon-Levitt
129,32,Ellen Page
130,32,Ken Watanabe
131,33,Anthony Perkins
132,33,Janet Leigh
133,33,Vera Miles
134,33,John Gavin
135,34,Matt Damon
136,34,Christian Bale
137,34,Jon Bernthal
138,34,Caitriona Balfe
139,35,Elijah Wood
140,35,Ian McKellen
141,35,Orlando Bloom
142,35,Sean Bean
143,36,Sigourney Weaver
144,36,Tom Skerritt
145,36,John Hurt
146,36,Veronica Cartwright
147,37,Saoirse Ronan
148,37,Emma Watson
149,37,Florence Pugh
150,37,Eliza Scanlen
151,38,Ethan Coen
152,38,William H. Macy
153,38,Frances McDormand
154,38,Steve Buscemi
155,38,Peter Stormare
156,39,Joe Russo
157,39,Robert Downey Jr.
158,39,Chris Hemsworth
159,39,Mark Ruffalo
160,39,Chris Evans
161,40,Leonardo DiCaprio
162,40,Kate Winslet
163,40,Billy Zane
164,40,Kathy Bates
165,41,Daniel Radcliffe
166,41,Emma Watson
167,41,Rupert Grint
168,41,Eric Sykes
169,42,Brad Pitt
170,42,Diane Kruger
171,42,Eli Roth
172,42,Mélanie Laurent
173,43,Harrison Ford
174,43,Ryan Gosling
175,43,Ana de Armas
176,43,Dave Bautista
177,44,Armie Hammer
178,44,Timothée Chalamet
179,44,Michael Stuhlbarg
180,44,Amira Casar
181,45,Morgan Freeman
182,45,Brad Pitt
183,45,Kevin Spacey
184,45,Andrew Kevin Walker
185,46,Lilly Wachowski
186,46,Keanu Reeves
187,46,Laurence Fishburne
188,46,Carrie-Anne Moss
189,46,Hugo Weaving
190,47,Ryan Reynolds
191,47,Josh Brolin
192,47,Morena Baccarin
193,47,Julian Dennison
194,48,Ethan Coen
195,48,Jeff Bridges
196,48,John Goodman
197,48,Julianne Moore
198,48,Steve Buscemi
199,49,Robert De Niro
200,49,Ray Liotta
201,49,Joe Pesci
202,49,Lorraine Bracco
203,50,Jackie Earle Haley
204,50,Patrick Wilson
205,50,Carla Gugino
206,50,Malin Akerman
207,51,Daniel Kaluuya
208,51,Allison Williams
209,51,Bradley Whitford
210,51,Catherine Keener
211,52,Tom Hanks
212,52,Robin Wright
213,52,Gary Sinise
214,52,Sally Field
215,53,Brad Pitt
216,53,Edward Norton
217,53,Meat Loaf
218,53,Zach Grenier
219,54,Tom Hardy
220,54,Charlize Theron
221,54,Nicholas Hoult
222,54,Zoë Kravitz
223,55,Daniel Radcliffe
224,55,Emma Watson
225,55,Rupert Grint
226,55,Michael Gambon
227,56,Ellen Burstyn
228,56,Jared Leto
229,56,Jennifer Connelly
230,56,Marlon Wayans
231,57,Leonardo DiCaprio
232,57,Matt Damon
233,57,Jack Nicholson
234,57,Mark Wahlberg
235,58,Jason London
236,58,Wiley Wiggins
237,58,Matthew McConaughey
238,58,Rory Cochrane
239,59,Chris Hemsworth
240,59,Tom Hiddleston
241,59,Cate Blanchett
242,59,Mark Ruffalo
243,60,Rod Taylor
244,60,Tippi Hedren
245,60,Jessica Tandy
246,60,Suzanne Pleshette
247,61,Ben Affleck
248,61,Rosamund Pike
249,61,Neil Patrick Harris
250,61,Tyler Perry
251,62,Jake Gyllenhaal
252,62,Robert Downey Jr.
253,62,Mark Ruffalo
254,62,Anthony Edwards
255,63,Daniel Radcliffe
256,63,Emma Watson
