,star_id,name
0,1,Caleb Landry Jones
1,2,Charlie Cox
2,3,Scatman Crothers
3,4,Rupert Grint
4,5,Max von Sydow
5,6,Tom Hiddleston
6,7,Leonard Nimoy
7,8,Joseph Cotten
8,9,Adam Driver
9,10,Hugh Grant
10,11,Chris Hemsworth
11,12,Emile Hirsch
12,13,William Hickey
13,14,Matt Damon
14,15,Eliza Scanlen
15,16,Robert Pattinson
16,17,Michael Schwartz
17,18,Matthew Broderick
18,19,Frank Morgan
19,20,Michael Keaton
20,21,Annie Potts
21,22,Tom Prior
22,23,Michael Bates
23,24,Linda Cardellini
24,25,Taraji P. Henson
25,26,Taron Egerton
26,27,Leonardo DiCaprio
27,28,Patrick Stewart
28,29,Val Kilmer
29,30,Jeff Bridges
30,31,Dee Wallace
31,32,Kevin Bacon
32,33,Kareem Abdul-Jabbar
33,34,Bonnie Hunt
34,35,Paul Winfield
35,36,Corey Feldman
36,37,Jessica Tandy
37,38,Anna Faris
38,39,Bob Gunton
39,40,Vin Diesel
40,41,Gary Oldman
41,42,Patrick Wilson
42,43,T.J. Miller
43,44,Giovanni Ribisi
44,45,Christopher Lloyd
45,46,Zachary Quinto
46,47,Tim Allen
47,48,Tom Hanks
48,49,Mary McDonnell
49,50,Azhy Robertson
50,51,Justin Timberlake
51,52,Carrie Henn
52,53,Julie Hagerty
53,54,John Goodman
54,55,Lin-Manuel Miranda
55,56,Benicio Del Toro
56,57,Morena Baccarin
57,58,Zach Grenier
58,59,Dominic West
59,60,Miyu Irino
60,61,James Caan
61,62,Frances McDormand
62,63,Mark Hamill
63,64,Dean-Charles Chapman
64,65,Jeremy Strong
65,66,Steven Bauer
66,67,Adrian Molina
67,68,Toni Collette
68,69,Justin Theroux
69,70,Sacha Baron Cohen
70,71,Ivana Baquero
71,72,Wendy Crewson
72,73,Michael Biehn
73,74,Malcolm McDowell
74,75,Rory Cochrane
75,76,Carey Mulligan
76,77,Linda Blair
77,78,Paul Dano
78,79,Alex Sharp
79,80,Jennifer Garner
80,81,Luis Guzmán
81,82,Albert Brooks
82,83,Jean Hagen
83,84,Jake Gyllenhaal
84,85,Joe Russo
85,86,Mark Boone Junior
86,87,Nicole Kidman
87,88,Janelle Monáe
88,89,Rob Minkoff
89,90,John Fiedler
90,91,Tippi Hedren
91,92,Daveigh Chase
92,93,Jean Reno
93,94,Alex Palmer
94,95,Zoë Kravitz
95,96,Forest Whitaker
96,97,William Sylvester
97,98,Martine McCutcheon
98,99,Samantha Isler
99,100,Chris ODonnell
100,101,Lee J. Cobb
101,102,Oliver Reed
102,103,Hailee Steinfeld
103,104,Bruce Willis
104,105,Bill Nighy
105,106,Crispin Glover
106,107,Jeremy Irons
107,108,Dan Aykroyd
108,109,Nicholas Hoult
109,110,James Garner
110,111,Ethan Coen
111,112,Robin Williams
112,113,Alan Tudyk
113,114,Harvey Keitel
114,115,Jason Statham
115,116,Gena Rowlands
116,117,Chris Pratt
117,118,Donnie Yen
118,119,Adrien Brody
119,120,Thora Birch
120,121,Nick Frost
121,122,Christopher Plummer
122,123,Taika Waititi
123,124,Jim Carrey
124,125,Nancy Kyes
125,126,Danny Elfman
126,127,Neil Patrick Harris
127,128,Ariadna Gil
128,129,Billy Zane
129,130,Annette Bening
130,131,Orlando Bloom
131,132,Jamie Foxx
132,133,Jared Leto
133,134,Danny Aiello
134,135,Lucas Hedges
135,136,Jeff Goldblum
136,137,Carrie Fisher
137,138,Eiza González
138,139,Russell Crowe
139,140,Kevin Costner
140,141,Matthew McConaughey
141,142,Judy Garland
142,143,Viola Davis
143,144,Gerard Butler
144,145,Winona Ryder
145,146,Mila Kunis
146,147,Tyler Perry
147,148,Danny Lloyd
148,149,Anthony Perkins
149,150,Robert Downey Jr.
150,151,Lucy Boynton
151,152,Richard Masur
152,153,Colin Firth
153,154,Adèle Haenel
154,155,John David Washington
155,156,Elijah Wood
156,157,Gabriel Byrne
157,158,Matthew Macfadyen
158,159,Sean Astin
159,160,Holmes Osborne
160,161,Sebastian Maniscalco
161,162,Heath Ledger
162,163,Scarlett Johansson
163,164,Diego Luna
164,165,Mark Wahlberg
165,166,Jerry Zucker
166,167,Donald Pleasence
167,168,Chazz Palminteri
168,169,Teri Hatcher
169,170,Laura Dern
170,171,Viggo Mortensen
171,172,Ian McKellen
172,173,Julianne Moore
173,174,Martin Sheen
174,175,Armie Hammer
175,176,Anthony Gonzalez
176,177,Jamie Lee Curtis
177,178,Hugh Jackman
178,179,Anthony Hopkins
179,180,Laura Linney
180,181,Julia Roberts
181,182,John Musker
182,183,Marlon Brando
183,184,Norman Taurog
184,185,George MacKay
185,186,William H. Macy
186,187,Gael García Bernal
187,188,Edward James Olmos
188,189,Leslie Nielsen
189,190,Yeo-jeong Jo
190,191,Henry Thomas
191,192,Linda Hamilton
192,193,Izabela Vidovic
193,194,Valeria Golino
194,195,Danny Glover
195,196,Kathy Bates
196,197,Angus Macfadyen
197,198,Sean Bridgers
198,199,Ryan Reynolds
199,200,Edward Norton
200,201,Daniel Richter
201,202,Annalise Basso
202,203,Catherine Keener
203,204,Joe Pantoliano
204,205,Warren Clarke
205,206,Olivia Williams
206,207,Michael Stuhlbarg
207,208,Edward Burns
208,209,Kasi Lemmons
209,210,Billy Crudup
210,211,Sam Neill
211,212,Peter Ramsey
212,213,Rami Malek
213,214,George Cukor
214,215,William Sadler
215,216,Ryan Gosling
216,217,Rumi Hiiragi
217,218,Tony Hale
218,219,Peter Coyote
219,220,Chris Evans
220,221,Naomi Watts
221,222,Tom Hardy
222,223,Fionn Whitehead
223,224,King Vidor
224,225,Rutger Hauer
225,226,Gary Sinise
226,227,Lady Gaga
227,228,Edward Furlong
228,229,Jennifer Saunders
229,230,Zoe Saldana
230,231,Greg Grunberg
231,232,Richard Thorpe
232,233,Lydia Wilson
233,234,Tim Robbins
234,235,Jeffrey Jones
235,236,Gary Lockwood
236,237,Simon Pegg
