,director_id,name
0,1,Martin Campbell
1,2,Mike Newell
2,3,Céline Sciamma
3,4,Matthew Vaughn
4,5,Sam Mendes
5,6,Mel Gibson
6,7,Todd Phillips
7,8,Gus Van Sant
8,9,Ethan Coen
9,10,Gore Verbinski
10,11,George Miller
11,12,Stephen Chbosky
12,13,John Hughes
13,14,Ron Clements
14,15,Aaron Sorkin
15,16,David Leitch
16,17,Gareth Edwards
17,18,David Cronenberg
18,19,Quentin Tarantino
19,20,Martin Brest
20,21,Stanley Kubrick
21,22,Alfred Hitchcock
22,23,Ron Howard
23,24,William Friedkin
24,25,Lenny Abrahamson
25,26,Jim Abrahams
26,27,Jon Favreau
27,28,Cameron Crowe
28,29,Sidney Lumet
29,30,Greta Gerwig
30,31,Nicolas Winding Refn
31,32,Michael Mann
32,33,James Wan
33,34,Danny Boyle
34,35,Richard Linklater
35,36,Denis Villeneuve
36,37,Sofia Coppola
37,38,Hayao Miyazaki
38,39,Bong Joon Ho
39,40,Noah Baumbach
40,41,Orson Welles
41,42,Ivan Reitman
42,43,Stanley Donen
43,44,Anthony Russo
44,45,Luca Guadagnino
45,46,David Yates
46,47,Guy Ritchie
47,48,Rian Johnson
48,49,David Fincher
49,50,Jonathan Demme
50,51,Jordan Peele
51,52,George Lucas
52,53,Taika Waititi
53,54,Lee Unkrich
54,55,Paul Thomas Anderson
55,56,Jemaine Clement
56,57,Roger Allers
57,58,James McTeigue
58,59,James Cameron
59,60,John Carpenter
60,61,David Lynch
61,62,James Marsh
62,63,John McTiernan
63,64,Joss Whedon
64,65,Theodore Melfi
65,66,James Gunn
66,67,James Mangold
67,68,Edgar Wright
68,69,Darren Aronofsky
69,70,M. Night Shyamalan
70,71,Tim Miller
71,72,Guillermo del Toro
72,73,Thomas Kail
73,74,Bob Persichetti
74,75,Brian De Palma
75,76,Christopher Nolan
76,77,Luc Besson
77,78,Rob Reiner
78,79,Richard Curtis
79,80,Alejandro Amenábar
80,81,Martin Scorsese
81,82,Josh Cooley
82,83,Tom McCarthy
83,84,Alfonso Cuarón
84,85,Alejandro G. Iñárritu
85,86,Lana Wachowski
86,87,Tyler Nilson
87,88,Joel Coen
88,89,Zack Snyder
89,90,Matt Ross
90,91,Richard Donner
91,92,Richard Kelly
92,93,Christopher McQuarrie
93,94,Milos Forman
94,95,Peter Farrelly
95,96,Damien Chazelle
96,97,Joe Wright
97,98,Martin McDonagh
98,99,Tate Taylor
99,100,Wes Anderson
100,101,Steven Spielberg
101,102,Henry Selick
102,103,George P. Cosmatos
103,104,Ridley Scott
104,105,Peter Jackson
105,106,Kenneth Lonergan
106,107,Bradley Cooper
107,108,Adam McKay
108,109,Francis Ford Coppola
109,110,Jean-Marc Vallée
110,111,Spike Jonze
111,112,Nick Cassavetes
112,113,Bryan Singer
113,114,Victor Fleming
114,115,Robert Zemeckis
115,116,J.J. Abrams
116,117,Michel Gondry
117,118,Bennett Miller
118,119,Tim Burton
119,120,Frank Darabont
120,121,Mary Harron
121,122,Chris Columbus
