,film_id,title,certificate,release_year,length,description,rating,director_id
0,1,The Trial of the Chicago 7,R,(2020),129 min,"
    The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.9,15
1,2,Tenet,PG-13,(2020),150 min,"
    Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",7.8,76
2,3,The Gentlemen,R,(2019),113 min,"
    An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.9,47
3,4,Rebecca,Approved,(1940),130 min,"
    A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.",8.1,22
4,5,Moneyball,PG-13,(2011),133 min,"
    Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.",7.6,118
5,6,The Nightmare Before Christmas,PG,(1993),76 min,"
    Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",8.0,102
6,7,Ferris Bueller's Day Off,PG-13,(1986),103 min,"
    A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",7.8,13
7,8,Halloween,R,(1978),91 min,"
    Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",7.8,60
8,9,The Shining,R,(1980),146 min,"
    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",8.4,21
9,10,1917,R,(2019),119 min,"
    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.3,5
10,11,Harry Potter and the Sorcerer's Stone,PG,(2001),152 min,"
    An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,122
11,12,Once Upon a Time... In Hollywood,R,(2019),161 min,"
    A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",7.6,19
12,13,Knives Out,PG-13,(2019),130 min,"
    A detective investigates the death of a patriarch of an eccentric, combative family.",7.9,48
