,film_id,star_id
0,1,573
1,1,79
2,1,70
3,1,65
4,2,155
5,2,16
6,2,488
7,2,430
8,3,141
9,3,542
10,3,513
11,3,65
12,4,433
13,4,484
14,4,419
15,4,402
16,5,368
17,5,322
18,5,299
19,5,481
20,6,126
21,6,468
22,6,323
23,6,13
24,7,18
25,7,464
26,7,239
27,7,235
28,8,167
29,8,177
30,8,377
31,8,125
32,9,338
33,9,457
34,9,148
35,9,3
36,10,64
37,10,185
38,10,242
39,10,153
40,11,411
41,11,4
42,11,294
43,11,307
44,12,27
45,12,368
46,12,288
47,12,12
48,13,286
49,13,220
50,13,372
51,13,177
52,14,338
53,14,437
54,14,571
55,14,446
56,15,85
57,15,150
58,15,220
59,15,418
60,15,11
61,16,470
62,16,503
63,16,190
64,16,305
65,17,297
66,17,451
67,17,462
68,17,319
69,18,27
70,18,299
71,18,288
72,18,141
73,19,234
74,19,469
75,19,39
76,19,215
77,20,492
78,20,179
79,20,514
80,20,209
81,21,459
82,21,45
83,21,364
84,21,106
85,22,55
86,22,504
87,22,383
88,22,511
89,23,183
90,23,453
91,23,61
92,23,258
93,24,141
94,24,331
95,24,378
96,24,321
97,25,247
98,25,162
99,25,344
100,25,463
101,26,432
102,26,108
103,26,376
104,26,308
105,27,281
106,27,535
107,27,163
108,27,123
109,28,395
110,28,561
111,28,483
112,28,104
113,29,426
114,29,5
115,29,77
116,29,101
117,30,212
118,30,248
119,30,241
120,30,382
121,30,103
122,30,387
123,31,543
124,31,474
125,31,406
126,31,152
127,32,27
128,32,565
129,32,309
130,32,397
131,33,149
132,33,314
133,33,250
134,33,278
135,34,14
136,34,247
137,34,280
138,34,486
139,35,156
140,35,172
141,35,131
142,35,427
143,36,376
144,36,315
145,36,289
146,36,528
147,37,320
148,37,275
149,37,306
150,37,15
151,38,111
152,38,186
153,38,62
154,38,557
155,38,570
156,39,85
157,39,150
158,39,11
159,39,418
160,39,220
161,40,27
162,40,454
163,40,129
164,40,196
165,41,411
166,41,275
167,41,4
168,41,544
169,42,368
170,42,545
171,42,443
172,42,533
173,43,554
174,43,216
175,43,372
176,43,530
177,44,175
178,44,343
179,44,207
180,44,512
181,45,469
182,45,368
183,45,435
184,45,475
185,46,386
186,46,466
187,46,455
188,46,518
189,46,277
190,47,199
191,47,399
192,47,57
193,47,284
194,48,111
195,48,30
196,48,54
197,48,173
198,48,557
199,49,451
200,49,380
201,49,485
202,49,425
203,50,329
204,50,42
205,50,566
206,50,401
207,51,534
208,51,415
209,51,434
210,51,203
211,52,48
212,52,322
213,52,226
214,52,576
215,53,368
216,53,200
217,53,414
218,53,58
219,54,222
220,54,567
221,54,109
222,54,95
223,55,411
224,55,275
225,55,4
226,55,506
227,56,426
228,56,133
229,56,316
230,56,575
231,57,27
232,57,14
233,57,338
234,57,165
235,58,342
236,58,529
237,58,141
238,58,75
239,59,11
240,59,6
241,59,472
242,59,418
243,60,301
244,60,91
245,60,37
246,60,537
247,61,404
248,61,366
249,61,127
250,61,147
251,62,84
252,62,150
253,62,418
254,62,360
255,63,411
256,63,275
257,63,4
258,63,392
259,64,451
260,64,453
261,64,485
262,64,114
263,65,159
264,65,399
265,65,531
266,65,36
267,66,333
268,66,158
269,66,536
270,66,495
271,67,422
272,67,543
273,67,29
274,67,409
275,67,335
276,68,247
277,68,222
278,68,331
279,68,41
280,69,456
281,69,169
282,69,259
283,69,229
284,70,265
285,70,500
286,70,51
287,70,354
288,71,117
289,71,40
290,71,295
291,71,230
292,72,524
293,72,280
294,72,507
295,72,138
296,73,199
297,73,57
298,73,43
299,73,420
300,74,369
301,74,578
302,74,256
303,74,389
304,75,435
305,75,130
306,75,120
307,75,266
308,76,104
309,76,539
310,76,41
311,76,417
312,77,17
313,77,346
314,77,450
315,77,520
316,77,563
317,78,67
318,78,176
319,78,187
320,78,381
321,78,276
322,79,139
323,79,297
324,79,327
325,79,102
326,80,132
327,80,441
328,80,27
329,80,347
330,81,191
331,81,510
332,81,219
333,81,31
334,82,48
335,82,285
336,82,391
337,82,34
338,83,442
339,83,145
340,83,502
341,83,461
342,84,93
343,84,41
344,84,558
345,84,134
346,85,286
347,85,410
348,85,253
349,85,348
350,86,156
351,86,171
352,86,172
353,86,131
354,87,244
355,87,460
356,87,287
357,87,237
358,88,223
359,88,508
360,88,482
361,88,222
362,89,247
363,89,178
364,89,163
365,89,463
366,90,247
367,90,69
368,90,429
369,90,421
370,91,216
371,91,76
372,91,479
373,91,82
374,92,267
375,92,264
376,92,310
377,92,399
378,92,444
379,93,174
380,93,183
381,93,240
382,93,562
383,94,211
384,94,170
385,94,136
386,94,260
387,95,451
388,95,492
389,95,505
390,95,82
391,96,418
392,96,20
393,96,339
394,96,238
395,97,416
396,97,249
397,97,322
398,97,468
399,98,332
400,98,230
401,98,376
402,98,465
403,99,273
404,99,166
405,99,282
406,99,53
407,99,189
408,99,33
409,100,178
410,100,84
411,100,143
412,100,452
413,101,376
414,101,73
415,101,52
416,101,413
417,102,247
418,102,463
419,102,397
420,102,369
421,103,104
422,103,577
423,103,68
424,103,206
425,104,411
426,104,275
427,104,4
428,104,506
429,105,317
430,105,485
431,105,328
432,105,371
433,106,428
434,106,172
435,106,246
436,106,251
437,107,547
438,107,339
439,107,105
440,107,233
441,108,27
442,108,318
443,108,418
444,108,256
445,109,62
446,109,444
447,109,245
448,109,1
449,110,171
450,110,387
451,110,24
452,110,161
453,111,497
454,111,325
455,111,556
456,111,197
457,112,408
458,112,569
459,112,279
460,112,413
461,113,104
462,113,352
463,113,373
464,113,337
465,114,10
466,114,98
467,114,369
468,114,180
469,115,554
470,115,225
471,115,388
472,115,188
473,116,442
474,116,525
475,116,131
476,116,333
477,117,112
478,117,14
479,117,404
480,117,400
481,118,277
482,118,558
483,118,365
484,118,439
485,119,494
486,119,143
487,119,255
488,119,449
489,120,291
490,120,154
491,120,405
492,120,194
493,121,74
494,121,293
495,121,23
496,121,205
497,122,63
498,122,554
499,122,137
500,122,292
501,123,393
502,123,8
503,123,385
504,123,516
505,124,48
506,124,14
507,124,551
508,124,208
509,125,84
510,125,541
511,125,49
512,125,160
513,126,150
514,126,489
515,126,341
516,126,30
517,127,453
518,127,540
519,127,66
520,127,498
521,128,227
522,128,295
523,128,409
524,128,231
525,129,274
526,129,192
527,129,73
528,129,35
529,130,178
530,130,28
531,130,313
532,130,491
533,131,459
534,131,45
535,131,364
536,131,440
537,132,416
538,132,330
539,132,195
540,132,532
541,133,473
542,133,473
543,133,496
544,133,480
545,133,83
546,134,435
547,134,157
548,134,168
549,134,263
550,135,210
551,135,379
552,135,447
553,135,62
554,136,165
555,136,173
556,136,509
557,136,81
558,137,411
559,137,275
560,137,4
561,137,105
562,138,500
563,138,332
564,138,438
565,138,374
566,139,87
567,139,487
568,139,527
569,139,523
570,140,297
571,140,312
572,140,163
573,140,354
574,141,182
575,141,303
576,141,345
577,141,290
578,141,467
579,141,493
580,141,254
581,142,124
582,142,454
583,142,549
584,142,552
585,143,171
586,143,185
587,143,99
588,143,202
589,144,123
590,144,298
591,144,123
592,144,300
593,144,271
594,145,141
595,145,80
596,145,133
597,145,311
598,146,247
599,146,471
600,146,216
601,146,368
602,147,116
603,147,110
604,147,339
605,147,216
606,148,144
607,148,559
608,148,431
609,148,59
610,149,156
611,149,172
612,149,171
613,149,131
614,150,326
615,150,394
616,150,198
617,150,72
618,151,578
619,151,350
620,151,572
621,151,119
622,152,403
623,152,46
624,152,237
625,152,7
626,153,286
627,153,310
628,153,269
629,153,253
630,154,92
631,154,537
632,154,60
633,154,217
634,155,117
635,155,230
636,155,530
637,155,40
638,156,526
639,156,518
640,156,204
641,156,86
642,157,150
643,157,220
644,157,163
645,157,568
646,158,453
647,158,451
648,158,29
649,158,384
650,159,237
651,159,121
652,159,428
653,159,105
654,160,283
655,160,296
656,160,478
657,160,261
658,161,25
659,161,255
660,161,88
661,161,140
662,162,213
663,162,151
664,162,448
665,162,262
666,163,302
667,163,269
668,163,487
669,163,94
670,164,89
671,164,18
672,164,107
673,164,370
674,164,574
675,165,573
