,film_id,genre
0,1,Drama
1,1,History
2,1,Thriller
3,2,Action
4,2,Sci-Fi
5,3,Action
6,3,Comedy
7,3,Crime
8,4,Drama
9,4,Mystery
10,4,Romance
11,5,Biography
12,5,Drama
13,5,Sport
14,6,Animation
15,6,Family
16,6,Fantasy
17,7,Comedy
18,8,Horror
19,8,Thriller
20,9,Drama
21,9,Horror
22,10,Drama
23,10,War
24,11,Adventure
25,11,Family
26,11,Fantasy
27,12,Comedy
28,12,Drama
29,13,Comedy
30,13,Crime
31,13,Drama
32,14,Drama
33,15,Action
34,15,Adventure
35,15,Drama
36,16,Comedy
37,16,Drama
38,16,Thriller
39,17,Crime
40,17,Drama
41,17,Thriller
42,18,Biography
43,18,Crime
44,18,Drama
45,19,Drama
46,20,Crime
47,20,Drama
48,20,Thriller
49,21,Adventure
50,21,Comedy
51,21,Sci-Fi
52,22,Biography
53,22,Drama
54,22,History
55,23,Crime
56,23,Drama
57,24,Adventure
58,24,Drama
59,24,Sci-Fi
60,25,Action
61,25,Crime
62,25,Drama
63,26,Action
64,26,Comedy
65,26,Fantasy
66,27,Comedy
67,27,Drama
68,27,War
69,28,Crime
70,28,Drama
71,29,Horror
72,30,Animation
73,30,Action
74,30,Adventure
75,31,Horror
76,31,Mystery
77,31,Sci-Fi
78,32,Action
79,32,Adventure
80,32,Sci-Fi
81,33,Horror
82,33,Mystery
83,33,Thriller
84,34,Action
85,34,Biography
86,34,Drama
87,35,Action
88,35,Adventure
89,35,Drama
90,36,Horror
91,36,Sci-Fi
92,37,Drama
93,37,Romance
94,38,Crime
95,38,Drama
96,38,Thriller
97,39,Action
98,39,Adventure
99,39,Sci-Fi
100,40,Drama
101,40,Romance
102,41,Adventure
103,41,Family
104,41,Fantasy
105,42,Adventure
106,42,Drama
107,42,War
108,43,Action
109,43,Drama
110,43,Mystery
111,44,Drama
112,44,Romance
113,45,Crime
114,45,Drama
115,45,Mystery
116,46,Action
117,46,Sci-Fi
118,47,Action
119,47,Adventure
120,47,Comedy
121,48,Comedy
122,48,Crime
123,48,Sport
